abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773306142.6184,1.9802,192.168.93.59,192.168.93.59,6,5343,80,44,40,64,2,SYN,8192,2704,0,,,0,44,1,114,57,1,0.5,0.5,0.5,1,0,0,0
1773306142.6185,1.9803,192.168.93.59,192.168.93.59,6,80,5343,44,40,64,20,RST|ACK,0,0,2705,,,0.00011181831359863281,88,2,115,0,1,0.4957,0,1,1,0,1,0
1773306142.6187,1.9805,192.168.93.59,192.168.93.59,6,2951,80,44,40,64,2,SYN,8192,8945,0,,,0,44,1,116,58,1,0.5,0.5,0.5,1,0,0,0
1773306142.6189,1.9807,192.168.93.59,192.168.93.59,6,80,2951,44,40,64,20,RST|ACK,0,0,8946,,,0.00020194053649902344,88,2,117,0,1,0.4957,0,1,1,0,1,0
1773306142.6191,1.9809,192.168.93.59,192.168.93.59,6,26324,80,44,40,64,2,SYN,8192,8489,0,,,0,44,1,118,59,1,0.5,0.5,0.5,1,0,0,0
1773306142.6193,1.9811,192.168.93.59,192.168.93.59,6,80,26324,44,40,64,20,RST|ACK,0,0,8490,,,0.0001957416534423828,88,2,119,0,1,0.4958,0,1,1,0,1,0
1773306142.6196,1.9814,192.168.93.59,192.168.93.59,6,36109,80,44,40,64,2,SYN,8192,8859,0,,,0,44,1,120,60,1,0.5,0.5,0.5,1,0,0,0
1773306142.6197,1.9815,192.168.93.59,192.168.93.59,6,80,36109,44,40,64,20,RST|ACK,0,0,8860,,,0.00012803077697753906,88,2,121,0,1,0.4959,0,1,1,0,1,0
1773306142.6199,1.9817,192.168.93.59,192.168.93.59,6,18579,80,44,40,64,2,SYN,8192,8460,0,,,0,44,1,122,61,1,0.5,0.5,0.5,1,0,0,0
1773306142.6201,1.9819,192.168.93.59,192.168.93.59,6,80,18579,44,40,64,20,RST|ACK,0,0,8461,,,0.0001270771026611328,88,2,123,0,1,0.4959,0,1,1,0,1,0
